=== Voting System Log ===
Station              | Presenting           | Validated            | Rejected             | Voted                | Exit Poll            | Approached           | Truth                | Lied                 | Votes A       | Votes B       | Exit A        | Exit B        
514,563,550,845      | 460                  |                      |                      |                      |                      | 203                  |                      |                      |  2            | 1            | 0            | 0           
514,563,550,845      | 460                  |                      |                      |                      |                      |                      | 203                  |                      |  2            | 1            | 0            | 1           
514,563,550,845      | 460                  |                      |                      |                      |                      |                      |                      |                      |  2            | 1            | 0            | 1           
514,563,550,845      |                      | 460                  |                      |                      |                      |                      |                      |                      |  2            | 1            | 0            | 1           
514,563,550,845      |                      |                      |                      | 460                  |                      |                      |                      |                      |  3            | 1            | 0            | 1           
514,563,550,845      |                      |                      |                      |                      | 460                  |                      |                      |                      |  3            | 1            | 0            | 1           
514,563,550,845,847  |                      |                      |                      |                      | 460                  |                      |                      |                      |  3            | 1            | 0            | 1           
514,563,550,847      | 845                  |                      |                      |                      | 460                  |                      |                      |                      |  3            | 1            | 0            | 1           
514,563,550,847      | 845                  |                      |                      |                      |                      | 460                  |                      |                      |  3            | 1            | 0            | 1           
514,563,550,847      | 845                  |                      |                      |                      |                      |                      | 460                  |                      |  3            | 1            | 1            | 1           
514,563,550,847      | 845                  |                      |                      |                      |                      |                      |                      |                      |  3            | 1            | 1            | 1           
514,563,550,847      |                      | 845                  |                      |                      |                      |                      |                      |                      |  3            | 1            | 1            | 1           
514,563,550,847      |                      |                      |                      | 845                  |                      |                      |                      |                      |  3            | 2            | 1            | 1           
514,563,550,847      |                      |                      |                      |                      | 845                  |                      |                      |                      |  3            | 2            | 1            | 1           
689,514,563,550,847  |                      |                      |                      |                      | 845                  |                      |                      |                      |  3            | 2            | 1            | 1           
689,563,550,847      | 514                  |                      |                      |                      | 845                  |                      |                      |                      |  3            | 2            | 1            | 1           
689,563,550,847      | 514                  |                      |                      |                      |                      |                      |                      |                      |  3            | 2            | 1            | 1           
689,563,550,847      |                      | 514                  |                      |                      |                      |                      |                      |                      |  3            | 2            | 1            | 1           
689,563,550,847      |                      |                      |                      | 514                  |                      |                      |                      |                      |  3            | 3            | 1            | 1           
689,563,550,847      |                      |                      |                      |                      | 514                  |                      |                      |                      |  3            | 3            | 1            | 1           
689,563,550,280,847  |                      |                      |                      |                      | 514                  |                      |                      |                      |  3            | 3            | 1            | 1           
689,550,280,847      | 563                  |                      |                      |                      | 514                  |                      |                      |                      |  3            | 3            | 1            | 1           
689,550,280,847      | 563                  |                      |                      |                      |                      |                      |                      |                      |  3            | 3            | 1            | 1           
689,550,280,847      |                      | 563                  |                      |                      |                      |                      |                      |                      |  3            | 3            | 1            | 1           
689,550,280,847      |                      |                      |                      | 563                  |                      |                      |                      |                      |  4            | 3            | 1            | 1           
689,550,280,847      |                      |                      |                      |                      | 563                  |                      |                      |                      |  4            | 3            | 1            | 1           
689,280,847          | 550                  |                      |                      |                      | 563                  |                      |                      |                      |  4            | 3            | 1            | 1           
689,433,280,847      | 550                  |                      |                      |                      | 563                  |                      |                      |                      |  4            | 3            | 1            | 1           
689,433,280,847      | 550                  |                      |                      |                      |                      |                      |                      |                      |  4            | 3            | 1            | 1           
689,433,280,847      |                      | 550                  |                      |                      |                      |                      |                      |                      |  4            | 3            | 1            | 1           
689,433,280,847      |                      |                      |                      | 550                  |                      |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280,847      |                      |                      |                      |                      | 550                  |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280          | 847                  |                      |                      |                      | 550                  |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280,559      | 847                  |                      |                      |                      | 550                  |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280,559      | 847                  |                      |                      |                      |                      |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280,559      |                      | 847                  |                      |                      |                      |                      |                      |                      |  4            | 4            | 1            | 1           
689,433,280,559      |                      |                      |                      | 847                  |                      |                      |                      |                      |  4            | 5            | 1            | 1           
689,433,280,559      |                      |                      |                      |                      | 847                  |                      |                      |                      |  4            | 5            | 1            | 1           
433,280,559          | 689                  |                      |                      |                      | 847                  |                      |                      |                      |  4            | 5            | 1            | 1           
433,833,280,559      | 689                  |                      |                      |                      | 847                  |                      |                      |                      |  4            | 5            | 1            | 1           
433,833,280,559      | 689                  |                      |                      |                      |                      |                      |                      |                      |  4            | 5            | 1            | 1           
433,833,280,559      |                      | 689                  |                      |                      |                      |                      |                      |                      |  4            | 5            | 1            | 1           
433,833,280,559      |                      |                      |                      | 689                  |                      |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,280,559      |                      |                      |                      |                      | 689                  |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,280,559      |                      |                      |                      |                      |                      |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,559          | 280                  |                      |                      |                      |                      |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,485,559      | 280                  |                      |                      |                      |                      |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,485,559      |                      | 280                  |                      |                      |                      |                      |                      |                      |  4            | 6            | 1            | 1           
433,833,485,559      |                      |                      |                      | 280                  |                      |                      |                      |                      |  4            | 7            | 1            | 1           
433,833,485,559      |                      |                      |                      |                      | 280                  |                      |                      |                      |  4            | 7            | 1            | 1           
833,485,559          | 433                  |                      |                      |                      | 280                  |                      |                      |                      |  4            | 7            | 1            | 1           
833,626,485,559      | 433                  |                      |                      |                      | 280                  |                      |                      |                      |  4            | 7            | 1            | 1           
833,626,485,559      | 433                  |                      |                      |                      |                      | 280                  |                      |                      |  4            | 7            | 1            | 1           
833,626,485,559      | 433                  |                      |                      |                      |                      |                      |                      |                      |  4            | 7            | 1            | 2           
833,626,485,559      |                      | 433                  |                      |                      |                      |                      |                      |                      |  4            | 7            | 1            | 2           
833,626,485,559      |                      |                      |                      | 433                  |                      |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,559      |                      |                      |                      |                      | 433                  |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,760,559  |                      |                      |                      |                      | 433                  |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,760      | 559                  |                      |                      |                      | 433                  |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,760      | 559                  |                      |                      |                      |                      |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,760      |                      | 559                  |                      |                      |                      |                      |                      |                      |  4            | 8            | 1            | 2           
833,626,485,760      |                      |                      |                      | 559                  |                      |                      |                      |                      |  5            | 8            | 1            | 2           
833,626,485,760      |                      |                      |                      |                      | 559                  |                      |                      |                      |  5            | 8            | 1            | 2           
833,626,485,102,760  |                      |                      |                      |                      | 559                  |                      |                      |                      |  5            | 8            | 1            | 2           
626,485,102,760      | 833                  |                      |                      |                      | 559                  |                      |                      |                      |  5            | 8            | 1            | 2           
626,485,102,760      | 833                  |                      |                      |                      |                      |                      |                      |                      |  5            | 8            | 1            | 2           
626,485,102,760      |                      | 833                  |                      |                      |                      |                      |                      |                      |  5            | 8            | 1            | 2           
626,485,102,760      |                      |                      |                      | 833                  |                      |                      |                      |                      |  5            | 9            | 1            | 2           
626,485,102,760      |                      |                      |                      |                      | 833                  |                      |                      |                      |  5            | 9            | 1            | 2           
626,485,102,760,346  |                      |                      |                      |                      | 833                  |                      |                      |                      |  5            | 9            | 1            | 2           
626,102,760,346      | 485                  |                      |                      |                      | 833                  |                      |                      |                      |  5            | 9            | 1            | 2           
626,102,760,346      | 485                  |                      |                      |                      |                      |                      |                      |                      |  5            | 9            | 1            | 2           
626,102,760,346      |                      | 485                  |                      |                      |                      |                      |                      |                      |  5            | 9            | 1            | 2           
626,102,760,346      |                      |                      |                      | 485                  |                      |                      |                      |                      |  5            | 10           | 1            | 2           
626,102,760,346      |                      |                      |                      |                      | 485                  |                      |                      |                      |  5            | 10           | 1            | 2           
626,102,760,346,863  |                      |                      |                      |                      | 485                  |                      |                      |                      |  5            | 10           | 1            | 2           
102,760,346,863      | 626                  |                      |                      |                      | 485                  |                      |                      |                      |  5            | 10           | 1            | 2           
102,760,346,863      | 626                  |                      |                      |                      |                      |                      |                      |                      |  5            | 10           | 1            | 2           
102,760,346,863      |                      | 626                  |                      |                      |                      |                      |                      |                      |  5            | 10           | 1            | 2           
102,760,346,863      |                      |                      |                      | 626                  |                      |                      |                      |                      |  6            | 10           | 1            | 2           
102,760,346,863      |                      |                      |                      |                      | 626                  |                      |                      |                      |  6            | 10           | 1            | 2           
102,760,346,863      |                      |                      |                      |                      |                      |                      |                      |                      |  6            | 10           | 1            | 2           
450,102,760,346,863  |                      |                      |                      |                      |                      |                      |                      |                      |  6            | 10           | 1            | 2           
450,102,346,863      | 760                  |                      |                      |                      |                      |                      |                      |                      |  6            | 10           | 1            | 2           
450,102,346,863      |                      | 760                  |                      |                      |                      |                      |                      |                      |  6            | 10           | 1            | 2           
450,102,346,863      |                      |                      |                      | 760                  |                      |                      |                      |                      |  7            | 10           | 1            | 2           
450,102,346,863      |                      |                      |                      |                      | 760                  |                      |                      |                      |  7            | 10           | 1            | 2           
450,835,102,346,863  |                      |                      |                      |                      | 760                  |                      |                      |                      |  7            | 10           | 1            | 2           
450,835,346,863      | 102                  |                      |                      |                      | 760                  |                      |                      |                      |  7            | 10           | 1            | 2           
450,835,346,863      | 102                  |                      |                      |                      |                      |                      |                      |                      |  7            | 10           | 1            | 2           
450,835,346,863      |                      | 102                  |                      |                      |                      |                      |                      |                      |  7            | 10           | 1            | 2           
450,835,346,863      |                      |                      |                      | 102                  |                      |                      |                      |                      |  8            | 10           | 1            | 2           
450,835,346,863      |                      |                      |                      |                      | 102                  |                      |                      |                      |  8            | 10           | 1            | 2           
450,835,346,863      |                      |                      |                      |                      |                      |                      |                      |                      |  8            | 10           | 1            | 2           
64,450,835,346,863   |                      |                      |                      |                      |                      |                      |                      |                      |  8            | 10           | 1            | 2           
64,450,835,863       | 346                  |                      |                      |                      |                      |                      |                      |                      |  8            | 10           | 1            | 2           
64,450,835,863       |                      | 346                  |                      |                      |                      |                      |                      |                      |  8            | 10           | 1            | 2           
64,450,835,863       |                      |                      |                      | 346                  |                      |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835,863       |                      |                      |                      |                      | 346                  |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835           | 863                  |                      |                      |                      | 346                  |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835,10        | 863                  |                      |                      |                      | 346                  |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835,10        | 863                  |                      |                      |                      |                      |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835,10        |                      | 863                  |                      |                      |                      |                      |                      |                      |  8            | 11           | 1            | 2           
64,450,835,10        |                      |                      |                      | 863                  |                      |                      |                      |                      |  8            | 12           | 1            | 2           
64,450,835,10        |                      |                      |                      |                      | 863                  |                      |                      |                      |  8            | 12           | 1            | 2           
64,450,835,10        |                      |                      |                      |                      |                      |                      |                      |                      |  8            | 12           | 1            | 2           
64,835,10            | 450                  |                      |                      |                      |                      |                      |                      |                      |  8            | 12           | 1            | 2           
64,835,644,10        | 450                  |                      |                      |                      |                      |                      |                      |                      |  8            | 12           | 1            | 2           
64,835,644,10        |                      | 450                  |                      |                      |                      |                      |                      |                      |  8            | 12           | 1            | 2           
64,835,644,10        |                      |                      |                      | 450                  |                      |                      |                      |                      |  8            | 13           | 1            | 2           
64,835,644,10        |                      |                      |                      |                      | 450                  |                      |                      |                      |  8            | 13           | 1            | 2           
64,644,10            | 835                  |                      |                      |                      | 450                  |                      |                      |                      |  8            | 13           | 1            | 2           
64,577,644,10        | 835                  |                      |                      |                      | 450                  |                      |                      |                      |  8            | 13           | 1            | 2           
64,577,644,10        | 835                  |                      |                      |                      |                      |                      |                      |                      |  8            | 13           | 1            | 2           
64,577,644,10        |                      | 835                  |                      |                      |                      |                      |                      |                      |  8            | 13           | 1            | 2           
64,577,644,10        |                      |                      |                      | 835                  |                      |                      |                      |                      |  8            | 14           | 1            | 2           
64,577,644,10        |                      |                      |                      |                      | 835                  |                      |                      |                      |  8            | 14           | 1            | 2           
64,577,644,10,602    |                      |                      |                      |                      | 835                  |                      |                      |                      |  8            | 14           | 1            | 2           
577,644,10,602       | 64                   |                      |                      |                      | 835                  |                      |                      |                      |  8            | 14           | 1            | 2           
577,644,10,602       | 64                   |                      |                      |                      |                      |                      |                      |                      |  8            | 14           | 1            | 2           
577,644,10,602       |                      | 64                   |                      |                      |                      |                      |                      |                      |  8            | 14           | 1            | 2           
577,644,10,602       |                      |                      |                      | 64                   |                      |                      |                      |                      |  9            | 14           | 1            | 2           
577,644,10,602       |                      |                      |                      |                      | 64                   |                      |                      |                      |  9            | 14           | 1            | 2           
577,210,644,10,602   |                      |                      |                      |                      | 64                   |                      |                      |                      |  9            | 14           | 1            | 2           
577,210,644,602      | 10                   |                      |                      |                      | 64                   |                      |                      |                      |  9            | 14           | 1            | 2           
577,210,644,602      | 10                   |                      |                      |                      |                      |                      |                      |                      |  9            | 14           | 1            | 2           
577,210,644,602      |                      | 10                   |                      |                      |                      |                      |                      |                      |  9            | 14           | 1            | 2           
577,210,644,602      |                      |                      |                      | 10                   |                      |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,644,602      |                      |                      |                      |                      | 10                   |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,602          | 644                  |                      |                      |                      | 10                   |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,664,602      | 644                  |                      |                      |                      | 10                   |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,664,602      | 644                  |                      |                      |                      |                      |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,664,602      |                      | 644                  |                      |                      |                      |                      |                      |                      |  10           | 14           | 1            | 2           
577,210,664,602      |                      |                      |                      | 644                  |                      |                      |                      |                      |  11           | 14           | 1            | 2           
577,210,664,602      |                      |                      |                      |                      | 644                  |                      |                      |                      |  11           | 14           | 1            | 2           
577,210,451,664,602  |                      |                      |                      |                      | 644                  |                      |                      |                      |  11           | 14           | 1            | 2           
210,451,664,602      | 577                  |                      |                      |                      | 644                  |                      |                      |                      |  11           | 14           | 1            | 2           
210,451,664,602      | 577                  |                      |                      |                      |                      |                      |                      |                      |  11           | 14           | 1            | 2           
210,451,664,602      |                      | 577                  |                      |                      |                      |                      |                      |                      |  11           | 14           | 1            | 2           
210,451,664,602      |                      |                      |                      | 577                  |                      |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,664,602      |                      |                      |                      |                      | 577                  |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,664          | 602                  |                      |                      |                      | 577                  |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,999,664      | 602                  |                      |                      |                      | 577                  |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,999,664      | 602                  |                      |                      |                      |                      |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,999,664      |                      | 602                  |                      |                      |                      |                      |                      |                      |  11           | 15           | 1            | 2           
210,451,999,664      |                      |                      |                      | 602                  |                      |                      |                      |                      |  12           | 15           | 1            | 2           
210,451,999,664      |                      |                      |                      |                      | 602                  |                      |                      |                      |  12           | 15           | 1            | 2           
210,451,999,664,510  |                      |                      |                      |                      | 602                  |                      |                      |                      |  12           | 15           | 1            | 2           
451,999,664,510      | 210                  |                      |                      |                      | 602                  |                      |                      |                      |  12           | 15           | 1            | 2           
451,999,664,510      | 210                  |                      |                      |                      |                      | 602                  |                      |                      |  12           | 15           | 1            | 2           
451,999,664,510      | 210                  |                      |                      |                      |                      |                      |                      |                      |  12           | 15           | 2            | 2           
451,999,664,510      |                      | 210                  |                      |                      |                      |                      |                      |                      |  12           | 15           | 2            | 2           
451,999,664,510      |                      |                      |                      | 210                  |                      |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,510          | 664                  |                      |                      | 210                  |                      |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,510          | 664                  |                      |                      |                      | 210                  |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,970,510      | 664                  |                      |                      |                      | 210                  |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,970,510      | 664                  |                      |                      |                      |                      |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,970,510      |                      | 664                  |                      |                      |                      |                      |                      |                      |  13           | 15           | 2            | 2           
451,999,970,510      |                      |                      |                      | 664                  |                      |                      |                      |                      |  14           | 15           | 2            | 2           
999,970,510          | 451                  |                      |                      | 664                  |                      |                      |                      |                      |  14           | 15           | 2            | 2           
999,970,510          | 451                  |                      |                      |                      | 664                  |                      |                      |                      |  14           | 15           | 2            | 2           
693,999,970,510      | 451                  |                      |                      |                      | 664                  |                      |                      |                      |  14           | 15           | 2            | 2           
693,999,970,510      | 451                  |                      |                      |                      |                      |                      |                      |                      |  14           | 15           | 2            | 2           
693,999,970,510      |                      | 451                  |                      |                      |                      |                      |                      |                      |  14           | 15           | 2            | 2           
693,999,970,510      |                      |                      |                      | 451                  |                      |                      |                      |                      |  15           | 15           | 2            | 2           
693,999,970,510      |                      |                      |                      |                      | 451                  |                      |                      |                      |  15           | 15           | 2            | 2           
693,999,970,510      |                      |                      |                      |                      |                      |                      |                      |                      |  15           | 15           | 2            | 2           
130,693,999,970,510  |                      |                      |                      |                      |                      |                      |                      |                      |  15           | 15           | 2            | 2           
130,693,970,510      | 999                  |                      |                      |                      |                      |                      |                      |                      |  15           | 15           | 2            | 2           
130,693,970,510      |                      | 999                  |                      |                      |                      |                      |                      |                      |  15           | 15           | 2            | 2           
130,693,970,510      |                      |                      |                      | 999                  |                      |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,510      |                      |                      |                      |                      | 999                  |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,510,62   |                      |                      |                      |                      | 999                  |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,62       | 510                  |                      |                      |                      | 999                  |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,62       | 510                  |                      |                      |                      |                      |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,62       |                      | 510                  |                      |                      |                      |                      |                      |                      |  15           | 16           | 2            | 2           
130,693,970,62       |                      |                      |                      | 510                  |                      |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,970,62       |                      |                      |                      |                      | 510                  |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,970,62       |                      |                      |                      |                      |                      |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,62           | 970                  |                      |                      |                      |                      |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,552,62       | 970                  |                      |                      |                      |                      |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,552,62       |                      | 970                  |                      |                      |                      |                      |                      |                      |  15           | 17           | 2            | 2           
130,693,552,62       |                      |                      |                      | 970                  |                      |                      |                      |                      |  15           | 18           | 2            | 2           
130,693,552,62       |                      |                      |                      |                      | 970                  |                      |                      |                      |  15           | 18           | 2            | 2           
130,693,552,169,62   |                      |                      |                      |                      | 970                  |                      |                      |                      |  15           | 18           | 2            | 2           
130,552,169,62       | 693                  |                      |                      |                      | 970                  |                      |                      |                      |  15           | 18           | 2            | 2           
130,552,169,62       | 693                  |                      |                      |                      |                      |                      |                      |                      |  15           | 18           | 2            | 2           
130,552,169,62       |                      | 693                  |                      |                      |                      |                      |                      |                      |  15           | 18           | 2            | 2           
130,552,169,62       |                      |                      |                      | 693                  |                      |                      |                      |                      |  15           | 19           | 2            | 2           
130,552,169,62       |                      |                      |                      |                      | 693                  |                      |                      |                      |  15           | 19           | 2            | 2           
130,552,169,203,62   |                      |                      |                      |                      | 693                  |                      |                      |                      |  15           | 19           | 2            | 2           
552,169,203,62       | 130                  |                      |                      |                      | 693                  |                      |                      |                      |  15           | 19           | 2            | 2           
552,169,203,62       | 130                  |                      |                      |                      |                      | 693                  |                      |                      |  15           | 19           | 2            | 2           
552,169,203,62       | 130                  |                      |                      |                      |                      |                      |                      | 693                  |  15           | 19           | 2            | 3           
552,169,203,62       | 130                  |                      |                      |                      |                      |                      |                      |                      |  15           | 19           | 2            | 3           
552,169,203,62       |                      | 130                  |                      |                      |                      |                      |                      |                      |  15           | 19           | 2            | 3           
552,169,203,62       |                      |                      |                      | 130                  |                      |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,203,62       |                      |                      |                      |                      | 130                  |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,426,203,62   |                      |                      |                      |                      | 130                  |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,426,203      | 62                   |                      |                      |                      | 130                  |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,426,203      | 62                   |                      |                      |                      |                      |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,426,203      |                      | 62                   |                      |                      |                      |                      |                      |                      |  16           | 19           | 2            | 3           
552,169,426,203      |                      |                      |                      | 62                   |                      |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203          | 552                  |                      |                      | 62                   |                      |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203          | 552                  |                      |                      |                      | 62                   |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203,461      | 552                  |                      |                      |                      | 62                   |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203,461      | 552                  |                      |                      |                      |                      |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203,461      |                      | 552                  |                      |                      |                      |                      |                      |                      |  17           | 19           | 2            | 3           
169,426,203,461      |                      |                      |                      | 552                  |                      |                      |                      |                      |  18           | 19           | 2            | 3           
169,426,203,461      |                      |                      |                      |                      | 552                  |                      |                      |                      |  18           | 19           | 2            | 3           
448,169,426,203,461  |                      |                      |                      |                      | 552                  |                      |                      |                      |  18           | 19           | 2            | 3           
448,426,203,461      | 169                  |                      |                      |                      | 552                  |                      |                      |                      |  18           | 19           | 2            | 3           
448,426,203,461      | 169                  |                      |                      |                      |                      |                      |                      |                      |  18           | 19           | 2            | 3           
448,426,203,461      |                      | 169                  |                      |                      |                      |                      |                      |                      |  18           | 19           | 2            | 3           
448,426,203,461      |                      |                      |                      | 169                  |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,426,461          | 203                  |                      |                      | 169                  |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,426,461          | 203                  |                      |                      |                      | 169                  |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,426,461      | 203                  |                      |                      |                      | 169                  |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,426,461      | 203                  |                      |                      |                      |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,426,461      |                      |                      | 203                  |                      |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,426,461      |                      |                      |                      |                      | 203                  |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,426,461      |                      |                      |                      |                      | 203                  |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,461          | 426                  |                      |                      |                      | 203                  |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,461          | 426                  |                      |                      |                      |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,461          |                      | 426                  |                      |                      |                      |                      |                      |                      |  18           | 20           | 2            | 3           
448,198,461          |                      |                      |                      | 426                  |                      |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,461          |                      |                      |                      |                      | 426                  |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,791,461      |                      |                      |                      |                      | 426                  |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,791          | 461                  |                      |                      |                      | 426                  |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,791          | 461                  |                      |                      |                      |                      |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,791          |                      | 461                  |                      |                      |                      |                      |                      |                      |  19           | 20           | 2            | 3           
448,198,791          |                      |                      |                      | 461                  |                      |                      |                      |                      |  19           | 21           | 2            | 3           
198,791              | 448                  |                      |                      | 461                  |                      |                      |                      |                      |  19           | 21           | 2            | 3           
198,791              | 448                  |                      |                      |                      | 461                  |                      |                      |                      |  19           | 21           | 2            | 3           
435,198,791          | 448                  |                      |                      |                      | 461                  |                      |                      |                      |  19           | 21           | 2            | 3           
435,198,791          | 448                  |                      |                      |                      |                      |                      |                      |                      |  19           | 21           | 2            | 3           
435,198,791          |                      | 448                  |                      |                      |                      |                      |                      |                      |  19           | 21           | 2            | 3           
435,198,791          |                      |                      |                      | 448                  |                      |                      |                      |                      |  20           | 21           | 2            | 3           
435,198,791          |                      |                      |                      |                      | 448                  |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,198,791      |                      |                      |                      |                      | 448                  |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,791          | 198                  |                      |                      |                      | 448                  |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,791          | 198                  |                      |                      |                      |                      |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,791          | 198                  |                      |                      |                      |                      |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,791          |                      | 198                  |                      |                      |                      |                      |                      |                      |  20           | 21           | 2            | 3           
321,435,791          |                      |                      |                      | 198                  |                      |                      |                      |                      |  21           | 21           | 2            | 3           
321,435,791          |                      |                      |                      |                      | 198                  |                      |                      |                      |  21           | 21           | 2            | 3           
321,435,791,892      |                      |                      |                      |                      | 198                  |                      |                      |                      |  21           | 21           | 2            | 3           
